"fecha","interes_real"
2017-01-01,0.000606010491732922
2017-02-01,-0.00387311311490168
2017-03-01,-0.00731667060914698
2017-04-01,-0.0102468120569896
2017-05-01,0.0019863006400338
2017-06-01,0.00453394745996083
2017-07-01,-0.000511422715365195
2017-08-01,0.00326217291131758
2017-09-01,-0.00118416124009868
2017-10-01,0.00284919793743654
2017-11-01,0.00500945305827849
2017-12-01,-0.0116574142669672
2018-01-01,0.00153918751324844
2018-02-01,-0.00508266765752974
2018-03-01,-0.00429914646713558
2018-04-01,-0.00815340292148437
2018-05-01,0.00276116919818059
2018-06-01,-0.0114662220095419
2018-07-01,-0.00218025295720625
2018-08-01,-0.00922826409281763
2018-09-01,-0.0285940292388832
2018-10-01,-0.0112335108047857
2018-11-01,0.0109270436271944
2018-12-01,0.0144598037456263
2019-01-01,0.00885818112585213
2019-02-01,-0.00610427464564611
2019-03-01,-0.0115270419537291
2019-04-01,0.00637364688316544
2019-05-01,0.0124034621348095
2019-06-01,0.0148302839821057
2019-07-01,0.0181443809145738
2019-08-01,0.00641063479483406
2019-09-01,-0.00839992964398084
2019-10-01,0.0125869923864801
2019-11-01,-0.00404940541987597
2019-12-01,-0.00238506442098463
2020-01-01,0.00742980148246208
2020-02-01,0.00769895560972711
2020-03-01,-0.00851193467515221
2020-04-01,0.00166436565112771
2020-05-01,0.00404186117737426
2020-06-01,0.00213030621800492
2020-07-01,0.00516957189715694
2020-08-01,-0.00222883914080019
2020-09-01,-0.00346897416843661
2020-10-01,-0.0115923639221558
2020-11-01,-0.00401832772531541
2020-12-01,-0.0110977207787925
2021-01-01,-0.0115857664399541
2021-02-01,-0.00707444980917049
2021-03-01,-0.0188117881686289
2021-04-01,-0.0119022871460681
2021-05-01,-0.00464431095094664
2021-06-01,-0.00320908209859116
2021-07-01,-0.00148110280589497
2021-08-01,0.00369030839650164
2021-09-01,-0.00676030289415364
2021-10-01,-0.00648133795604966
2021-11-01,0.00310847231147493
2021-12-01,-0.00953241129524474
2022-01-01,-0.00768592142716318
2022-02-01,-0.0143397919931226
2022-03-01,-0.0313904602681336
2022-04-01,-0.0230188850146662
2022-05-01,-0.011961529414134
2022-06-01,-0.0121370299282068
2022-07-01,-0.029329454010154
2022-08-01,-0.0180377319716127
2022-09-01,-0.00588408133738094
2022-10-01,-0.0055670695183706
2022-11-01,0.00809077479246079
2022-12-01,0.00618766232125489
2023-01-01,-0.00225171712376171
2023-02-01,-0.0076259563158162
2023-03-01,-0.016346971640494
2023-04-01,-0.0204446467229189
2023-05-01,-0.00249370048082243
2023-06-01,0.0165466029861414
2023-07-01,0.01290193073255
2023-08-01,-0.0335589031602791
2023-09-01,-0.0290173111077189
2023-10-01,0.0172828306387161
2023-11-01,-0.018007514835074
2023-12-01,-0.122487331199725
2024-01-01,-0.0954845999213233
2024-02-01,-0.036788751323769
2024-03-01,-0.0350570610970294
2024-04-01,-0.0331658585892106
2024-05-01,-0.0116188029300009
2024-06-01,-0.0171324250712307
2024-07-01,-0.00918274711012257
2024-08-01,-0.00897661305667796
2024-09-01,-0.00180984916954718
2024-10-01,0.00666090132948116
2024-11-01,0.0057386097148624
2024-12-01,0.000346946122270264
2025-01-01,0.0040488612338252
2025-02-01,-0.000276712048392747
2025-03-01,-0.0122463671928438
2025-04-01,-0.000174130208347001
2025-05-01,0.0121018352949787
2025-06-01,0.0104438658201189
2025-07-01,0.007914844111653
2025-08-01,0.0208783468771647
2025-09-01,0.0192008849168559
2025-10-01,0.014710304440146
2025-11-01,0.00191224060532313
